year,decade,month,month_name,state,species,activity,body_part,injury,provoked,gender,time_block,time_order,latitude,longitude
1995,1990s,12,Dec,New South Wales,Bull Shark,Swimming,Arm/Hand,Non-Fatal,Unprovoked,Male,Late Afternoon,5,-33.5632,151.2637
1996,1990s,1,Jan,Queensland,Bull Shark,Standing in Water,Leg/Foot,Non-Fatal,Unprovoked,Female,Early Afternoon,4,-27.8689,153.4199
1996,1990s,1,Jan,Western Australia,Wobbegong,Spearfishing,Leg/Foot,Non-Fatal,Provoked,Male,Late Afternoon,5,-35.0486,117.6931
1996,1990s,2,Feb,New South Wales,Bull Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,Before Dawn,1,-33.8138,151.0105
1996,1990s,2,Feb,New South Wales,Other,Standing in Water,Leg/Foot,Non-Fatal,Provoked,Male,,99,-31.5181,159.0649
1996,1990s,3,Mar,Queensland,Whaler Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Female,Early Morning,2,-23.4404,151.9166
1996,1990s,4,Apr,New South Wales,Wobbegong,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Female,,99,-33.6802,151.3138
1996,1990s,4,Apr,New South Wales,Wobbegong,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-33.6802,151.3138
1996,1990s,6,Jun,Victoria,White Shark,Boarding,,Uninjured,Unprovoked,Male,Late Afternoon,5,-38.4278,145.0769
1996,1990s,9,Sep,Western Australia,Wobbegong,Standing in Water,Leg/Foot,Non-Fatal,Unprovoked,Male,,99,-32.0217,115.5217
1996,1990s,12,Dec,Victoria,Wobbegong,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Female,,99,-38.4151,144.1886
1996,1990s,12,Dec,Queensland,Wobbegong,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Female,Evening,6,-26.5239,153.0948
1997,1990s,1,Jan,Queensland,Tiger Shark,Snorkelling,Leg/Foot,Non-Fatal,Unprovoked,Male,Morning,3,-20.2805,149.0397
1997,1990s,1,Jan,Queensland,Bull Shark,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,Early Afternoon,4,-28.1631,153.5476
1997,1990s,1,Jan,Victoria,White Shark,Unmotorised Boating,,Uninjured,Unprovoked,Male,,99,-38.5208,145.1064
1997,1990s,2,Feb,Queensland,Other,Diving,Arm/Hand,Non-Fatal,Unprovoked,Male,Morning,3,-20.1651,148.9048
1997,1990s,2,Feb,Queensland,Bull Shark,Swimming,Leg/Foot,Non-Fatal,Unprovoked,Female,Early Afternoon,4,-28.0104,153.3726
1997,1990s,2,Feb,New South Wales,Bull Shark,Unmotorised Boating,,Uninjured,Unprovoked,Female,Early Morning,2,-33.8603,151.1626
1997,1990s,7,Jul,Queensland,Tiger Shark,Boarding,Leg/Foot,Non-Fatal,Unprovoked,Male,Early Afternoon,4,-26.6473,153.1046
1997,1990s,10,Oct,Western Australia,White Shark,Boarding,Head/Neck,Non-Fatal,Unprovoked,Male,Early Morning,2,-31.9947,115.7505
1997,1990s,11,Nov,Victoria,White Shark,Boarding,,Uninjured,Unprovoked,Male,Late Afternoon,5,-38.2892,144.4889
1997,1990s,11,Nov,Western Australia,White Shark,Diving,Arm/Hand,Non-Fatal,Unprovoked,Male,,99,-35.0546,117.9927
1997,1990s,12,Dec,Western Australia,Wobbegong,Standing in Water,Leg/Foot,Non-Fatal,Unprovoked,Male,Morning,3,-33.9903,114.9909
